1,1,松本　純,113844
1,3,しのはら　豪,68061
1,7,明石　ゆきお,35465
2,1,すが　義偉,147084
2,7,みわ 智恵美,47119
2,8,おかもと　幸三,23011
3,1,おこのぎ　八郎,102323
3,9,かつまた　恒一郎,50199
3,7,木佐木　ただまさ,31853
3,12,横田　光弘,19516
4,10,あさお　慶一郎,91063
4,1,山本　ともひろ,61479
4,7,かとう　勝広,20063
4,15,おぎわら　隆宏,16633
5,1,さかい　学,112963
5,3,水戸　まさし,56647
5,7,横山　せいご,32075
5,10,後藤田　やよい,27188
5,12,かわの　としひさ,7656
6,2,上田　いさむ,78746
6,3,あおやぎ　陽一郎,52368
6,9,三村　和也,43464
6,7,北谷　まり,23013
7,1,鈴木　けいすけ,101088
7,9,中谷　一馬,50511
7,3,とよた　有希,39964
7,7,大山　奈々子,26151
7,12,松田　まなぶ,10073
8,3,江田　けんじ,116189
8,1,ふくだ　峰之,73032
8,7,若林　やすひさ,24024
9,9,笠　ひろふみ,64534
9,1,中山　のりひろ,59991
9,3,椎名　つよし,27762
9,7,ほりぐち　望,18134
10,1,田中　かずのり,114564
10,9,城島　光力,66897
10,7,中野　としひろ,38025
11,1,小泉　進次郎,168953
11,7,せと　和弘,33930
12,1,星野　つよし,83327
12,9,あべ　ともこ,82612
12,7,味村　こうたろう,16189
12,12,甘粕　和彦,14208
13,1,甘利　明,142201
13,3,伊藤　ゆうた,58941
13,7,たかく　良美,34014
14,1,あかま　二郎,109408
14,9,もとむら　賢太郎,83485
14,7,中野渡　じゅん,22720
14,12,中本　たえい,16091
15,1,河野　太郎,155388
15,10,池田　東一郎,39211
15,7,沼上　とくみつ,38068
16,9,ごとう　祐一,103116
16,1,義家　ひろゆき,101627
16,7,池田　博英,20243
17,1,牧島　かれん,118537
17,9,神山　洋介,79788
17,7,吉田　ふくじ,23569
18,1,やまぎわ　大志郎,86869
18,12,中田　宏,59138
18,3,北村　いたる,26691
18,7,塩田　よしお,24616
18,8,ひだか　剛,20105
