1,1,山田　みき,82013  
1,9,海江田　万里,80879  
1,10,マタヨシ　光雄,1011  
1,7,冨田　なおき,18763  
1,8,のざわ　哲夫,14875  
1,4,小斉　太郎,31554  
1,3,加藤　よしたか,48083  
1,5,伊藤　のぞみ,1999  
1,15,亀山　教明,614  
2,1,辻　清人,84663  
2,4,おおくま　利昭,48704  
2,9,中山　よしかつ,64676  
2,3,マツモト　カズミ,38564  
2,7,桑名　文彦,23035  
2,10,井上　雅弘,2045  
3,9,まつばら　仁,120298  
3,1,石原　ひろたか,122314  
3,8,池田　ゴウキュー,25773  
3,7,香西　かつ介,23167  
4,9,藤田　のりひこ,42424  
4,4,広瀬　雅志,34902  
4,7,山本　純平,24167  
4,1,平　将明,96810  
4,15,佐野　秀光,2603  
4,3,いぬぶし　秀一,44999  
5,4,みたに　英弘,46629  
5,9,手塚　よしお,65778  
5,5,そが　周作,1089  
5,7,三浦　岩男,15796  
5,3,渡辺　徹,45518  
5,1,若宮　けんじ,85408  
5,8,まるこ　安子,19462  
6,7,佐藤　なおき,24725  
6,1,おち　たかお,98112  
6,9,小宮山　洋子,70126  
6,3,花輪　ともふみ,52734  
6,4,落合　貴之,52325  
7,3,吉田　康一郎,45556  
7,7,太田　のりおき,19495  
7,8,おかもと　幸三,17437  
7,9,ながつま　昭,100872  
7,1,松本　文明,79048  
7,10,西野　貞吉,1315  
8,9,円　より子,54881  
8,1,石原　のぶてる,132521  
8,7,上保　まさたけ,23961  
8,10,山本　太郎,71028  
9,7,坂尻　まさゆき,24976  
9,9,福村　たかし,45386  
9,1,すがわら　一秀,145013  
9,8,木内　たかたね,55736  
10,7,今　秀子,22044  
10,9,えばた　貴子,47493  
10,1,小池　ゆりこ,108983  
10,8,たがや　亮,24414  
11,1,下村　博文,116521
11,9,太田　じゅん子,36144 
11,3,いの　たかし,49334
11,7,須藤　武美,27726
11,8,はしもと　久美,26469  
12,2,太田　あきひろ,114052  
12,7,池内　さおり,41934  
12,5,服部　まさみ,9359  
12,8,青木　愛,56432  
13,9,ふじお　直樹,26438  
13,8,ほんだ　まさき,17906  
13,3,川口　ひろし,46947  
13,1,かもした　一郎,115797  
13,7,そぶえ　元希,23091  
14,9,いぬづか　直史,24277  
14,7,あとう　和之,20298  
14,3,野口　とうしゅう,40312  
14,10,渋江　かつよし,608  
14,8,木村　たけつか,35334  
14,1,松島　みどり,90608  
14,15,藤田　直樹,1677  
15,9,たなか　美絵子,29355  
15,7,吉田　としお,18667  
15,4,柿沢　未途,88222  
15,8,東　祥三,28518  
15,1,あきもと　司,74159  
16,3,中津川　ひろさと,46537  
16,9,こんの　かつよし,22741  
16,8,初鹿　明博,27525  
16,7,しまなが　香代子,15145  
16,1,大西　ひでお,95222  
16,4,上田　令子,43179  
17,1,平沢　勝栄,131471  
17,9,早川　久美子,37592  
17,3,小林　ひとし,45285  
17,7,新井　杉生,24181  
18,1,土屋　正忠,84078  
18,8,すぎむら　やすゆき,15873  
18,9,菅　直人,73942  
18,10,よこくめ　勝仁,44828  
18,7,やなぎ　孝義,13419  
18,3,五十嵐　かつや,28837  
19,8,渡なべ　浩一郎,22445  
19,9,末松　義規,81490  
19,7,いでしげ　美津子,24660  
19,3,山田　宏,64857  
19,1,松本　洋平,101362  
20,3,野田　かずさ,50031  
20,7,池田　真理子,33092  
20,9,加藤　公一,61519  
20,1,木原　誠二,98070  
21,7,吉岡　正史,21762  
21,9,長島　昭久,82831  
21,1,小田原　きよし,70070  
21,10,谷川　博之,4413  
21,8,藤田　祐司,11408  
21,3,佐々木　りえ,36734  
22,9,山花　郁夫,66210  
22,7,坂内　淳,25740  
22,4,津山　ゆずる,37805  
22,1,伊藤　達也,115290  
22,5,井原　よしひろ,2180  
22,3,かの　あきら,40698  
23,8,石井　貴士,18125  
23,3,伊藤　しゅんすけ,59166  
23,4,白川　てつや,39676  
23,9,くしぶち　万里,63969  
23,7,松村　りょうすけ,21006  
23,1,小倉　まさのぶ,87192  
24,4,小林　ひろゆき,40922  
24,7,峯岸　ますお,21448  
24,3,藤井　よしひろ,30042  
24,1,はぎうだ　光一,121433  
24,9,あくつ　幸彦,60784  
25,1,井上　信治,100523  
25,7,井上　たかし,17721  
25,8,まさご　太郎,10689  
25,3,松本　てっぺい,27258  
25,9,竹田　光明,28751  
